ICD10_Code,ICD10_Description,'ICD-10-CM CODE','ICD-10-CM CODE DESCRIPTION','Default CCSR CATEGORY IP','Default CCSR CATEGORY DESCRIPTION IP','Default CCSR CATEGORY OP','Default CCSR CATEGORY DESCRIPTION OP','CCSR CATEGORY 1','CCSR CATEGORY 1 DESCRIPTION','CCSR CATEGORY 2','CCSR CATEGORY 2 DESCRIPTION','CCSR CATEGORY 3','CCSR CATEGORY 3 DESCRIPTION','CCSR CATEGORY 4','CCSR CATEGORY 4 DESCRIPTION','CCSR CATEGORY 5','CCSR CATEGORY 5 DESCRIPTION','CCSR CATEGORY 6','CCSR CATEGORY 6 DESCRIPTION'
I,感染症及び寄生虫症（A00－B99）,,,,,,,,,,,,,,,,,,
A00,コレラ,,,,,,,,,,,,,,,,,,
A01,腸チフス及びパラチフス,,,,,,,,,,,,,,,,,,
A02,その他のサルモネラ感染症,,,,,,,,,,,,,,,,,,
A03,細菌性赤痢,,,,,,,,,,,,,,,,,,
A04,その他の細菌性腸管感染症,,,,,,,,,,,,,,,,,,
A05,その他の細菌性食中毒，他に分類されないもの,,,,,,,,,,,,,,,,,,
A06,アメーバ症,,,,,,,,,,,,,,,,,,
A07,その他の原虫性腸疾患,,,,,,,,,,,,,,,,,,
A08,ウイルス性及びその他の明示された腸管感染症,,,,,,,,,,,,,,,,,,
A085,その他の明示された腸管感染症,,,,,,,,,,,,,,,,,,
A085a,伝染性下痢症,,,,,,,,,,,,,,,,,,
A085b,その他,,,,,,,,,,,,,,,,,,
A090,感染症が原因のその他及び詳細不明の胃腸炎及び大腸炎,,,,,,,,,,,,,,,,,,
A099,詳細不明の原因による胃腸炎及び大腸炎,,,,,,,,,,,,,,,,,,
A15,呼吸器結核，細菌学的又は組織学的に確認されたもの,,,,,,,,,,,,,,,,,,
A151,肺結核，培養のみにより確認されたもの,,,,,,,,,,,,,,,,,,
A152,肺結核，組織学的に確認されたもの,,,,,,,,,,,,,,,,,,
A153,肺結核，確認されてはいるが，その方法については詳細不明のもの,,,,,,,,,,,,,,,,,,
A16,呼吸器結核，細菌学的又は組織学的に確認されていないもの,,,,,,,,,,,,,,,,,,
A160,肺結核，細菌学的及び組織学的検査陰性のもの,,,,,,,,,,,,,,,,,,
A161,肺結核，細菌学的及び組織学的検査が実施されていないもの,,,,,,,,,,,,,,,,,,
A162,肺結核，細菌学的又は組織学的確認の記載がないもの,,,,,,,,,,,,,,,,,,
A163,胸腔内リンパ節結核，細菌学的又は組織学的確認の記載がないもの,,,,,,,,,,,,,,,,,,
A164,喉頭，気管及び気管支の結核，細菌学的又は組織学的確認の記載がないもの,,,,,,,,,,,,,,,,,,
A165,結核性胸膜炎，細菌学的又は組織学的確認の記載がないもの,,,,,,,,,,,,,,,,,,
A167,初感染呼吸器結核，細菌学的又は組織学的確認の記載がないもの,,,,,,,,,,,,,,,,,,
A168,その他の呼吸器結核，細菌学的又は組織学的確認の記載がないもの,,,,,,,,,,,,,,,,,,
A169,詳細不明の呼吸器結核，細菌学的又は組織学的確認の記載がないもの,,,,,,,,,,,,,,,,,,
A17,神経系結核,,,,,,,,,,,,,,,,,,
A18,その他の臓器の結核,,,,,,,,,,,,,,,,,,
A19,粟粒結核,,,,,,,,,,,,,,,,,,
A20,ペスト,,,,,,,,,,,,,,,,,,
A21,野兎病＜ツラレミア＞,,,,,,,,,,,,,,,,,,
A22,炭疽,,,,,,,,,,,,,,,,,,
A23,ブルセラ症,,,,,,,,,,,,,,,,,,
A24,鼻疽及び類鼻疽,,,,,,,,,,,,,,,,,,
A244,類鼻疽，詳細不明,,,,,,,,,,,,,,,,,,
A25,鼠咬症,,,,,,,,,,,,,,,,,,
A26,類丹毒,,,,,,,,,,,,,,,,,,
A27,レプトスピラ症,,,,,,,,,,,,,,,,,,
A28,その他の人畜共通細菌性疾患，他に分類されないもの,,,,,,,,,,,,,,,,,,
A30,ハンセン＜Hansen＞病,,,,,,,,,,,,,,,,,,
A31,その他の非結核性抗酸菌による感染症,,,,,,,,,,,,,,,,,,
A32,リステリア症,,,,,,,,,,,,,,,,,,
A36,ジフテリア,,,,,,,,,,,,,,,,,,
A37,百日咳,,,,,,,,,,,,,,,,,,
A38,猩紅熱,,,,,,,,,,,,,,,,,,
A39,髄膜炎菌感染症,,,,,,,,,,,,,,,,,,
A40,連鎖球菌性敗血症,,,,,,,,,,,,,,,,,,
A402,D群連鎖球菌による敗血症,,,,,,,,,,,,,,,,,,
